"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2007,14:00,203.95,205.45,201.95,203.15,18092,85959
01/04/2007,14:00,203.35,204.80,202.15,204.55,9997,85491
01/05/2007,14:00,202.80,203.55,199.15,200.00,19079,82758
01/08/2007,14:00,199.80,200.45,198.75,199.65,10339,81490
01/09/2007,14:00,198.95,199.55,197.55,197.95,14688,79411
01/10/2007,14:00,197.65,200.95,197.65,200.30,10643,78925
01/11/2007,14:00,199.80,201.30,199.35,200.20,9278,77896
01/12/2007,14:00,199.05,200.05,199.05,199.85,6946,76601
01/16/2007,14:00,200.15,201.75,199.65,201.20,11812,76678
01/17/2007,14:00,200.05,201.30,198.85,201.15,9000,76007
01/18/2007,14:00,200.65,201.15,199.15,199.30,7107,75798
01/19/2007,14:00,198.80,200.05,198.80,199.25,5286,75289
01/22/2007,14:00,198.65,199.15,196.35,196.90,16688,73686
01/23/2007,14:00,196.45,196.80,194.90,195.20,14668,70402
01/24/2007,14:00,194.85,196.85,194.85,196.50,11276,68890
01/25/2007,14:00,196.05,196.55,195.45,195.55,6964,67631
01/26/2007,14:00,195.25,196.15,194.95,195.85,5294,67331
01/29/2007,14:00,195.55,197.25,195.35,196.15,8256,67908
01/30/2007,14:00,195.55,196.65,195.35,196.10,7721,67049
01/31/2007,14:00,196.70,197.85,196.30,197.20,13358,64973
02/01/2007,14:00,197.85,198.85,197.35,198.30,14619,61797
02/02/2007,14:00,198.95,198.95,197.30,197.80,0,70402
02/05/2007,14:00,197.85,197.90,195.65,196.25,0,70402
02/06/2007,14:00,196.55,196.80,195.80,196.05,0,70402
02/07/2007,14:00,195.95,197.55,195.85,196.35,0,70402
02/08/2007,14:00,196.55,196.55,195.05,195.05,0,70402
02/09/2007,14:00,192.20,192.40,191.10,191.20,0,70402
02/12/2007,14:00,194.10,194.30,193.25,193.45,13693,61840
02/13/2007,14:00,193.00,193.70,192.40,193.10,18111,67235
02/14/2007,14:00,193.90,194.25,193.10,193.20,13646,71092
02/15/2007,14:00,193.65,194.70,193.65,194.35,14357,76311
02/16/2007,14:00,192.90,193.80,192.30,192.50,22342,81565
02/20/2007,14:00,192.10,192.85,191.60,191.70,11236,81821
02/21/2007,14:00,191.60,193.80,190.80,192.60,0,70402
02/22/2007,14:00,193.20,197.50,192.55,196.60,0,70402
02/23/2007,14:00,197.50,197.50,196.10,197.00,0,70402
02/26/2007,14:00,196.20,196.60,194.90,195.50,0,70402
02/27/2007,14:00,195.20,195.30,194.10,194.80,0,70402
02/28/2007,14:00,194.80,196.45,193.90,194.75,0,70402
03/01/2007,14:00,193.60,193.70,191.50,193.00,0,70402
03/02/2007,14:00,192.10,192.70,191.50,191.65,0,67631
03/05/2007,14:00,191.10,191.40,187.90,187.90,0,67631
03/06/2007,14:00,188.80,190.30,188.60,189.35,0,67631
03/07/2007,14:00,189.35,189.50,187.60,188.75,0,67631
03/08/2007,14:00,189.10,189.75,188.00,188.70,0,67631
03/09/2007,14:00,188.50,189.25,188.00,188.90,9648,84773
03/12/2007,14:00,188.70,189.00,187.60,188.30,8421,84136
03/13/2007,14:00,188.65,189.90,187.40,187.55,11417,84053
03/14/2007,14:00,186.90,187.20,186.00,186.35,11348,83894
03/15/2007,14:00,187.00,187.50,186.30,187.05,9496,84465
03/16/2007,14:00,186.75,187.00,186.05,186.85,8388,83673
03/19/2007,14:00,187.00,187.70,185.75,186.75,8086,83721
03/20/2007,14:00,186.25,187.00,185.30,185.80,10153,84281
03/21/2007,14:00,185.75,189.35,185.75,189.00,15750,84422
03/22/2007,14:00,188.60,188.90,187.50,188.25,9355,84671
03/23/2007,14:00,189.25,190.60,189.25,189.85,11189,84344
03/26/2007,14:00,189.60,191.30,189.40,190.85,9719,84187
03/27/2007,14:00,190.40,190.70,188.55,188.95,9415,84097
03/28/2007,14:00,188.75,189.50,188.40,189.20,6373,83608
03/29/2007,14:00,188.90,189.30,186.80,187.10,11336,81124
03/30/2007,14:00,186.00,186.30,184.90,185.75,16975,80117
04/02/2007,14:00,186.30,187.30,184.80,185.10,14063,77019
04/03/2007,14:00,185.60,187.90,185.35,187.25,14046,74688
04/04/2007,14:00,187.20,188.20,186.50,187.05,8378,70949
04/05/2007,14:00,187.30,188.10,186.60,187.35,5999,68357
04/09/2007,14:00,187.00,188.10,185.60,186.15,14521,63636
04/10/2007,14:00,183.20,183.65,182.75,182.85,11792,52653
04/11/2007,14:00,186.10,186.20,185.85,185.95,8979,58067
04/12/2007,14:00,186.65,190.10,186.65,189.30,15169,64906
04/13/2007,14:00,189.70,190.20,188.25,188.25,12658,70363
04/16/2007,14:00,187.95,188.10,184.65,184.80,22834,76610
04/17/2007,14:00,184.70,186.20,184.50,185.85,13286,80710
04/18/2007,14:00,186.00,187.60,185.20,185.70,16369,84123
04/19/2007,14:00,185.20,186.30,184.85,185.10,19530,88403
04/20/2007,14:00,185.60,186.00,184.10,184.25,9796,89723
04/23/2007,14:00,184.10,185.10,182.70,183.00,12427,91648
04/24/2007,14:00,182.85,183.60,180.60,181.25,16063,91979
04/25/2007,14:00,180.85,181.50,180.70,180.85,7745,92641
04/26/2007,14:00,180.40,180.70,179.90,180.35,9731,92431
04/27/2007,14:00,179.90,181.50,179.50,180.60,11472,91753
04/30/2007,14:00,180.60,181.00,179.35,179.75,0,91753
05/01/2007,14:00,178.20,179.00,176.85,178.45,20785,92672
05/02/2007,14:00,178.80,179.40,178.20,178.30,6239,93889
05/03/2007,14:00,178.45,179.00,177.70,177.95,7086,94506
05/04/2007,14:00,179.00,180.40,179.00,179.60,8795,93668
05/07/2007,14:00,179.90,180.50,178.00,178.40,8253,93889
05/08/2007,14:00,179.10,180.80,178.40,178.85,9279,93721
05/09/2007,14:00,178.90,180.50,178.65,179.85,9333,93505
05/10/2007,14:00,179.85,180.40,179.20,180.15,8956,93918
05/11/2007,14:00,180.10,180.20,178.60,179.30,7488,93001
05/14/2007,14:00,181.40,182.50,180.10,180.45,11238,93097
